Date,Open,High,Low,Close,Adj Close,Volume
7/31/2017,184.259995,184.970001,177.809998,180.270004,180.270004,24886400
8/7/2017,181,182.270004,167.600006,171.399994,171.399994,35099700
8/14/2017,169.800003,172.449997,165.720001,166.539993,166.539993,32753000
8/21/2017,166.910004,171.240005,164.229996,165.949997,165.949997,25425000
8/28/2017,166.429993,176.479996,164.729996,174.740005,174.740005,27066900
9/4/2017,173.399994,180.389999,172.440002,176.419998,176.419998,23959000
9/11/2017,178.100006,185.330002,178.029999,182.350006,182.350006,27091700
9/18/2017,183.610001,189.949997,182.729996,187.350006,187.350006,27579100
9/25/2017,186.460007,186.550003,176.550003,181.350006,181.350006,28985100
10/2/2017,182.110001,198.919998,176.580002,198.020004,198.020004,55295900
10/9/2017,199.100006,200.820007,192.100006,199.490005,199.490005,39490300
10/16/2017,201.949997,204.380005,191.160004,194.160004,194.160004,70234600
10/23/2017,194.169998,200.649994,191.029999,199.539993,199.539993,32678800
10/30/2017,199.619995,201.100006,195.220001,200.009995,200.009995,23260700
11/6/2017,200,202.479996,189.5,192.020004,192.020004,29154100
11/13/2017,191.119995,197.699997,191,193.199997,193.199997,21845300
11/20/2017,193.300003,197.520004,191.899994,195.75,195.75,16670700
11/27/2017,195.559998,199.679993,184.320007,186.820007,186.820007,37243500
12/4/2017,189.360001,189.720001,178.380005,188.539993,188.539993,29990400
12/11/2017,187.850006,192.639999,184.820007,190.119995,190.119995,29352900
12/18/2017,191.199997,191.649994,185.259995,189.940002,189.940002,27198100
12/25/2017,189.779999,194.490005,185.220001,191.960007,191.960007,22342800
1/1/2018,196.100006,210.020004,195.419998,209.990005,209.990005,32621100
1/8/2018,210.020004,222.550003,206.910004,221.229996,221.229996,33516500
1/15/2018,224.240005,226.070007,216.320007,220.460007,220.460007,41413100
1/22/2018,222,274.600006,221.199997,274.600006,274.600006,89119200
1/29/2018,274.200012,286.809998,262.709991,267.429993,267.429993,60500300
2/5/2018,262,272.450012,236.110001,249.470001,249.470001,59687000
2/12/2018,252.139999,281.959991,249,278.519989,278.519989,45434200
2/19/2018,277.73999,286.640015,274.450012,285.929993,285.929993,33333400
2/26/2018,288.75,301.179993,283.230011,301.049988,301.049988,52616000
3/5/2018,302.850006,331.440002,297.600006,331.440002,331.440002,80484400
3/12/2018,333.559998,333.980011,313.279999,318.450012,318.450012,56738100
3/19/2018,315.799988,319.5,300.359985,300.940002,300.940002,38774200
3/26/2018,309.359985,322.899994,275.899994,295.350006,295.350006,62175300
4/2/2018,291.940002,299.160004,271.220001,288.850006,288.850006,61114700
4/9/2018,291.769989,317.48999,289.119995,311.649994,311.649994,57687500
4/16/2018,315.98999,338.820007,304,327.769989,327.769989,82993000
4/23/2018,329.149994,331.220001,292.619995,311.76001,311.76001,54122000
4/30/2018,311.070007,320.980011,305.730011,320.089996,320.089996,32167800
5/7/2018,321.98999,332.059998,319.339996,326.459991,326.459991,27378900
5/14/2018,327.25,330.5,322.429993,324.179993,324.179993,21021000
5/21/2018,327.109985,354.359985,325.450012,351.290009,351.290009,45246800
5/28/2018,351.5,359.98999,346.709991,359.929993,359.929993,29437400
6/4/2018,362.679993,369.829987,355.51001,360.570007,360.570007,37256000
6/11/2018,361.880005,398.859985,360.910004,391.980011,391.980011,55132600
6/18/2018,387.720001,423.209991,386.5,411.089996,411.089996,68835000
6/25/2018,404.690002,411.589996,378.75,391.429993,391.429993,75695900
7/2/2018,385.450012,408.649994,380,408.25,408.25,30501300
7/9/2018,415.950012,419.769989,395.079987,395.799988,395.799988,58686600
7/16/2018,398.980011,403.359985,344,361.049988,361.049988,135092100
7/23/2018,359.149994,367.399994,351.649994,355.209991,355.209991,48767700
7/30/2018,351.929993,352.029999,328,343.089996,343.089996,56116300
8/6/2018,342.869995,357.309998,341.73999,345.869995,345.869995,30712400
8/13/2018,339.890015,347.190002,312.959991,316.779999,316.779999,41576200
8/20/2018,314.640015,359.149994,310.929993,358.820007,358.820007,63370500
8/27/2018,367.149994,376.809998,360,367.679993,367.679993,53693000
9/3/2018,366.470001,368.880005,335.829987,348.679993,348.679993,42854000
9/10/2018,352.269989,374.089996,343.079987,364.559998,364.559998,35553600
9/17/2018,364.220001,377.609985,349.570007,361.190002,361.190002,48061400
9/24/2018,359,383.200012,354.329987,374.130005,374.130005,44363100
10/1/2018,375.850006,386.799988,343,351.350006,351.350006,45411300
10/8/2018,345.179993,358.720001,315.809998,339.559998,339.559998,69266500
10/15/2018,337.630005,380,326.929993,332.670013,332.670013,99160500
10/22/2018,333.100006,336.579987,292.299988,299.829987,299.829987,84006700
10/29/2018,305.26001,321.880005,271.209991,309.100006,309.100006,94270900
11/5/2018,311.100006,332.049988,298.01001,303.470001,303.470001,57826400
11/12/2018,300,303.549988,278.299988,286.209991,286.209991,59077200
11/19/2018,283.790009,285.089996,250,258.820007,258.820007,45955700
11/26/2018,260.549988,290.809998,253.800003,286.130005,286.130005,65741000
12/3/2018,293.190002,298.720001,263.380005,265.140015,265.140015,52459000
12/10/2018,264.190002,281.769989,260.609985,266.839996,266.839996,49200100
12/17/2018,266.51001,280.869995,241.289993,246.389999,246.389999,71963700
12/24/2018,242,261.910004,231.229996,256.079987,256.079987,47178300
12/31/2018,260.160004,297.799988,256.579987,297.570007,297.570007,59488100
1/7/2019,302.100006,341.089996,301.649994,337.589996,337.589996,80295400
1/14/2019,334.23999,358.850006,329.130005,339.100006,339.100006,92558500
1/21/2019,334.890015,340,318.600006,338.049988,338.049988,53706000
1/28/2019,334.700012,346.839996,328.149994,339.850006,339.850006,43905100
2/4/2019,342.600006,360,338,347.570007,347.570007,40241600
2/11/2019,350,364.399994,344.809998,356.869995,356.869995,44968700
2/18/2019,355.799988,366.709991,353.880005,363.019989,363.019989,28823400
2/25/2019,367.01001,371.48999,354.690002,357.320007,357.320007,29857100
3/4/2019,359.720001,362.859985,342.470001,349.600006,349.600006,32686800
3/11/2019,352,364,350.029999,361.459991,361.459991,30711900
3/18/2019,362.470001,379,356.799988,361.01001,361.01001,42858600
3/25/2019,359,368.380005,349.200012,356.559998,356.559998,33059300
4/1/2019,359,373.410004,358.51001,365.48999,365.48999,26096500
4/8/2019,365.109985,370.119995,349.359985,351.140015,351.140015,36811700
4/15/2019,350.709991,368.76001,342.269989,360.350006,360.350006,53989800
4/22/2019,359.700012,384.799988,359,374.850006,374.850006,40489600
4/29/2019,373.679993,385.98999,368.350006,385.029999,385.029999,27477600
5/6/2019,377.690002,381.350006,352.75,361.040009,361.040009,30879700
5/13/2019,352.290009,364,341.390015,354.450012,354.450012,30886700
5/20/2019,351.230011,370.459991,345.399994,354.390015,354.390015,24338700
5/27/2019,354.390015,361.200012,342.920013,343.279999,343.279999,19407400
6/3/2019,343.559998,365.149994,332.649994,360.869995,360.869995,29248600
6/10/2019,363.649994,367.100006,336.160004,339.730011,339.730011,29020000
6/17/2019,342.690002,371.450012,342.059998,369.209991,369.209991,29801800
6/24/2019,370.269989,375,358.290009,367.320007,367.320007,22981600
7/1/2019,373.5,381.98999,370.309998,380.549988,380.549988,16148800
7/8/2019,378.190002,384.76001,362.679993,373.25,373.25,26898200
7/15/2019,372.940002,373.679993,314.230011,315.100006,315.100006,75037000
7/22/2019,312,336,305.809998,335.779999,335.779999,60496900
7/29/2019,335.980011,336.399994,311.799988,318.829987,318.829987,30915100
8/5/2019,310.959991,316.640015,296.809998,308.929993,308.929993,35449000
8/12/2019,305.459991,316.429993,288,302.799988,302.799988,35711900
8/19/2019,306.25,311.75,290.320007,291.440002,291.440002,29276600
8/26/2019,295.23999,299.929993,287.200012,293.75,293.75,23795700
9/2/2019,290.820007,293.970001,282.790009,290.170013,290.170013,22468700
9/9/2019,294.809998,301.549988,282.660004,294.149994,294.149994,39552800
9/16/2019,294.230011,299.149994,266,270.75,270.75,50189700
9/23/2019,268.350006,273.390015,252.279999,263.079987,263.079987,56472900
9/30/2019,264,275.480011,257.01001,272.790009,272.790009,41878000
10/7/2019,271.98999,287.869995,264.570007,282.929993,282.929993,39191600
10/14/2019,283.929993,308.75,273.359985,275.299988,275.299988,91063500
10/21/2019,272.890015,279.940002,265.799988,276.820007,276.820007,41110300
10/28/2019,278.049988,293.48999,277.350006,286.809998,286.809998,30634500
11/4/2019,288,298.190002,285.839996,291.570007,291.570007,23504400
11/11/2019,289.160004,296.359985,281.140015,295.029999,295.029999,31738800
11/18/2019,296,312.690002,293.279999,310.480011,310.480011,33104900
11/25/2019,308.829987,316.820007,305.25,314.660004,314.660004,19703500
12/2/2019,314.390015,314.390015,298.809998,307.350006,307.350006,23797000
12/9/2019,307.350006,311.48999,292.019989,298.5,298.5,30460600
12/16/2019,300.850006,338,298.630005,336.899994,336.899994,46030600
12/23/2019,337.76001,337.950012,326.01001,329.089996,329.089996,16410600
12/30/2019,329.079987,329.980011,321.089996,325.899994,325.899994,16317500
1/6/2020,323.119995,343.420013,321.200012,329.049988,329.049988,26898400
1/13/2020,331.799988,345.380005,331.51001,339.670013,339.670013,29729900
1/20/2020,340,359.850006,323.600006,353.160004,353.160004,72220300
1/27/2020,345.950012,352.399994,338.549988,345.089996,345.089996,32732700
2/3/2020,347.23999,375.25,346.279999,366.769989,366.769989,28579000
2/10/2020,365,385.369995,362.519989,380.399994,380.399994,22913500
2/17/2020,379.299988,392.950012,376.679993,380.070007,380.070007,18079800
2/24/2020,364.76001,391.559998,356.799988,369.029999,369.029999,44498000
3/2/2020,373.109985,393.519989,356.850006,368.970001,368.970001,37744000
3/9/2020,343.859985,364.540009,307.320007,336.299988,336.299988,42575700
3/16/2020,306.630005,350.48999,290.25,332.829987,332.829987,54637200
3/23/2020,347.890015,372.929993,339.170013,357.119995,357.119995,49033700
3/30/2020,363,383.01001,357.51001,361.76001,361.76001,34114300
4/6/2020,365.220001,381.329987,361.709991,370.720001,370.720001,29850500
4/13/2020,371.309998,449.519989,367.700012,422.959991,422.959991,65580100
4/20/2020,435.170013,447,413,424.98999,424.98999,79579900
4/27/2020,425,429,393.600006,415.269989,415.269989,42325700
5/4/2020,417.779999,442,414.869995,435.549988,435.549988,31442300
5/11/2020,436.329987,455,427.269989,454.190002,454.190002,33350300
5/18/2020,451.160004,458.970001,427.179993,429.320007,429.320007,32737700
5/25/2020,427.769989,428.5,397.859985,419.730011,419.730011,29253000
6/1/2020,418.829987,428.709991,404.25,419.600006,419.600006,22064600
6/8/2020,416,445.570007,406.5,418.070007,418.070007,31469400
6/15/2020,421.399994,453.970001,415.420013,453.720001,453.720001,26717500
6/22/2020,455.01001,474.01001,442.23999,443.399994,443.399994,27985900
6/29/2020,445.230011,492.279999,432.140015,476.890015,476.890015,25099900
7/6/2020,480.769989,555.880005,479.799988,548.72998,548.72998,46646700
7/13/2020,567.97998,575.369995,484.140015,492.98999,492.98999,93039400
7/20/2020,489.140015,506.220001,467.540009,480.450012,480.450012,43489800
