Date,netflix_Trend_wordwide ,Date_ID
12/16/2019,52,20191216
12/23/2019,65,20191223
12/30/2019,70,20191230
1/6/2020,62,20200106
1/13/2020,55,20200113
1/20/2020,55,20200120
1/27/2020,50,20200127
2/3/2020,52,20200203
2/10/2020,51,20200210
2/17/2020,51,20200217
2/24/2020,50,20200224
3/2/2020,48,20200302
3/9/2020,54,20200309
3/16/2020,85,20200316
3/23/2020,99,20200323
3/30/2020,100,20200330
4/6/2020,97,20200406
4/13/2020,91,20200413
4/20/2020,84,20200420
4/27/2020,83,20200427
5/4/2020,76,20200504
5/11/2020,73,20200511
5/18/2020,69,20200518
5/25/2020,67,20200525
6/1/2020,64,20200601
6/8/2020,65,20200608
6/15/2020,60,20200615
6/22/2020,61,20200622
6/29/2020,65,20200629
7/6/2020,61,20200706
7/13/2020,62,20200713
7/20/2020,62,20200720
7/27/2020,61,20200727
8/3/2020,58,20200803
8/10/2020,57,20200810
8/17/2020,59,20200817
8/24/2020,58,20200824
8/31/2020,58,20200831
9/7/2020,61,20200907
9/14/2020,61,20200914
9/21/2020,57,20200921
9/28/2020,55,20200928
10/5/2020,53,20201005
10/12/2020,54,20201012
10/19/2020,55,20201019
10/26/2020,59,20201026
11/2/2020,52,20201102
11/9/2020,56,20201109
11/16/2020,55,20201116
11/23/2020,55,20201123
11/30/2020,59,20201130
12/7/2020,58,20201207
12/14/2020,57,20201214
12/21/2020,68,20201221
12/28/2020,76,20201228
1/4/2021,65,20210104
1/11/2021,64,20210111
1/18/2021,65,20210118
1/25/2021,63,20210125
2/1/2021,62,20210201
2/8/2021,57,20210208
2/15/2021,60,20210215
2/22/2021,54,20210222
3/1/2021,53,20210301
3/8/2021,52,20210308
3/15/2021,51,20210315
3/22/2021,52,20210322
3/29/2021,55,20210329
4/5/2021,54,20210405
4/12/2021,52,20210412
4/19/2021,65,20210419
